indicator_type,Company,Sector,Country,Region,Indicator,KPI,Unit,year,value
Social,Agro Tech Foods,Consumer Defensive,India,Asia,Training and development,Training on skill upgradation - Workers,Number,2023,164
Social,Agro Tech Foods,Consumer Defensive,India,Asia,Safety,Total recordable work-related injuries,Number,2023,7
Social,Agro Tech Foods,Consumer Defensive,India,Asia,Safety,Number of fatalities,Number,2023,0
Social,Agro Tech Foods,Consumer Defensive,India,Asia,Human rights,Employees attending Human rights training,Number,2023,565
Social,Ajanta Pharma,Healthcare,India,Asia,Employees,Number of employees,Number,2023,10270
Social,Ajanta Pharma,Healthcare,India,Asia,Employees,Number of employees - Differently abled,Number,2023,6
Social,Ajanta Pharma,Healthcare,India,Asia,Employees,Employee turnover rate,%,2023,27
Social,Ajanta Pharma,Healthcare,India,Asia,Employees,Employee turnover rate - Workers,%,2023,2
Social,Ajanta Pharma,Healthcare,India,Asia,Labour,Unionised employees,Number,2023,103
Social,Ajanta Pharma,Healthcare,India,Asia,Training and development,Training on health and safety measures - Employees,Number,2023,7601
Social,Ajanta Pharma,Healthcare,India,Asia,Training and development,Training on health and safety measures - Workers,Number,2023,112
Social,Ajanta Pharma,Healthcare,India,Asia,Training and development,Training on skill upgradation - Employees,Number,2023,6136
Social,Ajanta Pharma,Healthcare,India,Asia,Training and development,Training on skill upgradation - Workers,Number,2023,112
Social,Ajanta Pharma,Healthcare,India,Asia,Safety,Lost-time injury frequency rate (LTIFR) - Workers,Rate,2023,0.09
Social,Ajanta Pharma,Healthcare,India,Asia,Safety,Total recordable work-related injuries,Number,2023,10
Social,Ajanta Pharma,Healthcare,India,Asia,Safety,Number of fatalities,Number,2023,0
Social,Alembic Pharma,Healthcare,India,Asia,Employees,Number of employees,Number,2023,16640
Social,Alembic Pharma,Healthcare,India,Asia,Employees,Number of employees - Differently abled,Number,2023,11
Social,Alembic Pharma,Healthcare,India,Asia,Employees,Employee turnover rate,%,2023,26.97
Social,Alembic Pharma,Healthcare,India,Asia,Employees,Employee turnover rate - Workers,%,2023,4.37
Social,Alembic Pharma,Healthcare,India,Asia,Training and development,Training on health and safety measures - Employees,Number,2023,13875
Social,Alembic Pharma,Healthcare,India,Asia,Training and development,Training on health and safety measures - Workers,Number,2023,718
Social,Alembic Pharma,Healthcare,India,Asia,Training and development,Training on skill upgradation - Employees,Number,2023,24
Social,Alembic Pharma,Healthcare,India,Asia,Safety,Lost-time injury frequency rate (LTIFR) - Employees,Rate,2023,0.08
Social,Alembic Pharma,Healthcare,India,Asia,Safety,Total recordable work-related injuries,Number,2023,59
Social,Alembic Pharma,Healthcare,India,Asia,Safety,Number of fatalities,Number,2023,0
Social,Alembic Pharma,Healthcare,India,Asia,Human rights,Employees attending Human rights training,Number,2023,13875
Social,3M,Industrials,United States,North America,Health and safety,Lost-time incident rate,Rate,2023,0.528
Social,3M,Industrials,United States,North America,Health and safety,Lost-time incident rate,Rate,2022,0.451
Social,3M,Industrials,United States,North America,Health and safety,Lost-time incident rate,Rate,2021,0.397
Social,3M,Industrials,United States,North America,Health and safety,Lost-time incident rate,Rate,2020,0.331
Social,3M,Industrials,United States,North America,Health and safety,Recordable incident rate,Rate,2023,1.37
Social,3M,Industrials,United States,North America,Health and safety,Recordable incident rate,Rate,2022,1.27
Social,3M,Industrials,United States,North America,Health and safety,Recordable incident rate,Rate,2021,1.14
Social,3M,Industrials,United States,North America,Health and safety,Recordable incident rate,Rate,2020,0.967
Social,3M,Industrials,United States,North America,Health and safety,Number of fatalities,Number,2023,1
Social,3M,Industrials,United States,North America,Health and safety,Number of fatalities,Number,2022,2
Social,3M,Industrials,United States,North America,Health and safety,Number of fatalities,Number,2021,1
Social,3M,Industrials,United States,North America,Health and safety,Number of health and safety customer training instances,Number,2023,8440000
Social,3M,Industrials,United States,North America,Health and safety,Number of health and safety customer training instances,Number,2022,4910000
Social,3M,Industrials,United States,North America,Health and safety,Number of health and safety customer training instances,Number,2021,2950000
Social,3M,Industrials,United States,North America,Supply chain,Number of suppliers,Number,2023,55200
Social,3M,Industrials,United States,North America,Supply chain,Number of suppliers,Number,2022,55100
Social,3M,Industrials,United States,North America,Supply chain,Number of suppliers,Number,2021,60700
Social,AAR Corporation,Industrials,United States,North America,Employees,Number of employees,Number,2023,5000
Social,AAR Corporation,Industrials,United States,North America,Employees,Number of employees,Number,2022,4500
Social,AAR Corporation,Industrials,United States,North America,Diversity,Minority employees,%,2023,53
Social,AAR Corporation,Industrials,United States,North America,Diversity,Minority employees,%,2022,50
Social,AAR Corporation,Industrials,United States,North America,Diversity,Female employees,%,2023,19
Social,AAR Corporation,Industrials,United States,North America,Diversity,Female employees,%,2022,19
Social,AAR Corporation,Industrials,United States,North America,Diversity,Veteran employees,%,2023,19
Social,AAR Corporation,Industrials,United States,North America,Diversity,Veteran employees,%,2022,20
Social,AAR Corporation,Industrials,United States,North America,Diversity,Employees less than 30 years,%,2023,20
Social,AAR Corporation,Industrials,United States,North America,Diversity,Employees less than 30 years,%,2022,18
Social,AAR Corporation,Industrials,United States,North America,Diversity,Employees between 30 - 40 years,%,2023,20
Social,AAR Corporation,Industrials,United States,North America,Diversity,Employees between 30 - 40 years,%,2022,19
Social,AAR Corporation,Industrials,United States,North America,Diversity,Employees between 40 - 50 years,%,2023,20
Social,AAR Corporation,Industrials,United States,North America,Diversity,Employees between 40 - 50 years,%,2022,20
Social,AAR Corporation,Industrials,United States,North America,Diversity,Employees between 50 - 60 years,%,2023,23
Social,AAR Corporation,Industrials,United States,North America,Diversity,Employees between 50 - 60 years,%,2022,25
Social,AAR Corporation,Industrials,United States,North America,Diversity,Employees over 60 years,%,2023,17
Social,AAR Corporation,Industrials,United States,North America,Diversity,Employees over 60 years,%,2022,18
Social,AAR Corporation,Industrials,United States,North America,Supply chain,Suppliers spend,Million $,2023,24.6
Social,AAR Corporation,Industrials,United States,North America,Supply chain,Suppliers spend,Million $,2022,22.4
Social,AAR Corporation,Industrials,United States,North America,Health and safety,Recordable injury and illness rate (RIIR),Rate,2023,2.4
Social,AAR Corporation,Industrials,United States,North America,Health and safety,Recordable incidents rate (RIR),Rate,2023,1.62
Social,A.O. Smith,Industrials,United States,North America,Health and safety,Total recordable incident rate (TRIR),Rate,2023,1.38
Social,A.O. Smith,Industrials,United States,North America,Health and safety,Total recordable incident rate (TRIR),Rate,2022,1.13
Social,A.O. Smith,Industrials,United States,North America,Health and safety,Total recordable incident rate (TRIR),Rate,2021,1.06
Social,A.O. Smith,Industrials,United States,North America,Health and safety,Total recordable incident rate (TRIR),Rate,2020,0.94
Social,A.O. Smith,Industrials,United States,North America,Supply chain,Suppliers certifying adherence to code of conduct,%,2023,80
Social,A.O. Smith,Industrials,United States,North America,Supply chain,Suppliers certifying adherence to code of conduct,%,2022,76
Social,A.O. Smith,Industrials,United States,North America,Supply chain,Suppliers certifying adherence to code of conduct,%,2021,59
Social,A.O. Smith,Industrials,United States,North America,Supply chain,Suppliers certifying adherence to code of conduct,%,2020,34.3
Social,A.O. Smith,Industrials,United States,North America,Diversity,Female employees,%,2023,30
Social,A.O. Smith,Industrials,United States,North America,Diversity,Female employees,%,2022,32
Social,A.O. Smith,Industrials,United States,North America,Diversity,Female employees,%,2021,39
Social,A.O. Smith,Industrials,United States,North America,Diversity,Female employees,%,2020,41
Social,A.O. Smith,Industrials,United States,North America,Diversity,Racially and ethnically diverse employees,%,2023,29
Social,A.O. Smith,Industrials,United States,North America,Diversity,Racially and ethnically diverse employees,%,2022,27
Social,A.O. Smith,Industrials,United States,North America,Diversity,Racially and ethnically diverse employees,%,2021,28
Social,A.O. Smith,Industrials,United States,North America,CSI,Foundation grants,$ million,2023,1.7
Social,A.O. Smith,Industrials,United States,North America,CSI,Foundation grants,$ million,2022,1.8
Social,A.O. Smith,Industrials,United States,North America,CSI,Foundation grants,$ million,2021,1.6
Social,A.O. Smith,Industrials,United States,North America,CSI,Foundation grants,$ million,2020,1.7
Social,A.O. Smith,Industrials,United States,North America,Employee tenure,Employee tenure,Years,2023,9
Social,A.O. Smith,Industrials,United States,North America,Employee tenure,Employee tenure,Years,2022,10
Social,A.O. Smith,Industrials,United States,North America,Employees,Number of employees,Number,2023,12000
Social,A10 Networks,Technology,United States,North America,Employees,Number of employees,Number,2023,525
Social,A10 Networks,Technology,United States,North America,Employees,Number of employees,Number,2022,575
Social,ABB,Industrials,United States,North America,Health and safety,Lost-time injury frequency rate (LTIFR),Rate,2023,0.13
Social,ABB,Industrials,United States,North America,Health and safety,Lost-time injury frequency rate (LTIFR),Rate,2022,0.14
Social,ABB,Industrials,United States,North America,Health and safety,Lost-time injury frequency rate (LTIFR),Rate,2021,0.14
Social,ABB,Industrials,United States,North America,Health and safety,Lost-time injury frequency rate (LTIFR),Rate,2020,0.15
Social,ABB,Industrials,United States,North America,Health and safety,Number of fatalities,Number,2023,1
Social,ABB,Industrials,United States,North America,Health and safety,Number of fatalities,Number,2022,1
Social,ABB,Industrials,United States,North America,Health and safety,Number of fatalities,Number,2021,0
Social,ABB,Industrials,United States,North America,Health and safety,Number of fatalities,Number,2020,2
Social,ABB,Industrials,United States,North America,Human rights,Employees receiving human rights awareness training,Number,2023,108
Social,ABB,Industrials,United States,North America,Human rights,Employees receiving human rights awareness training,Number,2022,1068
Social,ABB,Industrials,United States,North America,Human rights,Employees receiving human rights awareness training,Number,2021,1567
Social,ABB,Industrials,United States,North America,Human rights,Employees receiving human rights awareness training,Number,2020,530
Social,ABB,Industrials,United States,North America,Employment equity,Female in management,%,2023,21
Social,ABB,Industrials,United States,North America,Employment equity,Female in management,%,2022,17.8
Social,ABB,Industrials,United States,North America,Employment equity,Female in management,%,2021,16.3
Social,ABB,Industrials,United States,North America,Employment equity,Female in management,%,2020,13.5
Social,ABB,Industrials,United States,North America,CSI,CSI spend,$ million,2023,11.5
Social,ABB,Industrials,United States,North America,CSI,CSI spend,$ million,2022,10.2
Social,ABB,Industrials,United States,North America,Community,Person-days volunteered,Days,2023,4800
Social,ABB,Industrials,United States,North America,Community,Person-days volunteered,Days,2022,4050
Social,ABB,Industrials,United States,North America,Employees,Number of employees,Number,2023,110442
Social,ABB,Industrials,United States,North America,Employees,Number of employees,Number,2022,106850
Social,ABB,Industrials,United States,North America,Employees,Number of employees,Number,2021,107590
Social,ABB,Industrials,United States,North America,Employees,Number of employees,Number,2020,105600
Social,ABB,Industrials,United States,North America,Employees,Number of employees - Permanent,Number,2023,104026
Social,ABB,Industrials,United States,North America,Employees,Number of employees - Temporary,Number,2023,6416
Social,ABB,Industrials,United States,North America,Diversity,Female employees,Number,2023,30644
Social,ABB,Industrials,United States,North America,Diversity,Female employees,Number,2022,29900
Social,ABB,Industrials,United States,North America,Diversity,Male employees,Number,2023,79898
Social,ABB,Industrials,United States,North America,Diversity,Male employees,Number,2022,76950
Social,ABB,Industrials,United States,North America,Diversity,Female employees,%,2023,28
Social,ABB,Industrials,United States,North America,Diversity,Female employees,%,2022,28
Social,ABB,Industrials,United States,North America,Diversity,Female employees,%,2021,27
Social,ABB,Industrials,United States,North America,Diversity,Female employees,%,2020,26
Social,ABB,Industrials,United States,North America,Diversity,Male employees,%,2023,72
Social,ABB,Industrials,United States,North America,Diversity,Male employees,%,2022,72
Social,ABB,Industrials,United States,North America,Diversity,Male employees,%,2021,73
Social,ABB,Industrials,United States,North America,Diversity,Male employees,%,2020,74
Social,ABB,Industrials,United States,North America,Employees,Employee turnover rate,%,2023,15
Social,ABB,Industrials,United States,North America,Employees,Employee turnover rate,%,2022,16
Social,ABB,Industrials,United States,North America,Employees,Employee turnover rate,%,2021,16
Social,ABB,Industrials,United States,North America,Employees,Employee turnover rate,%,2020,16
Social,ABB,Industrials,United States,North America,Employees,New hires,Number,2023,20235
Social,ABB,Industrials,United States,North America,Employees,New hires,Number,2022,15621
Social,ABB,Industrials,United States,North America,Employees,New hires,Number,2021,16501
Social,ABB,Industrials,United States,North America,Employees,New hires,Number,2020,13964
Social,ABB,Industrials,United States,North America,Employees,New hires - Female,Number,2023,6047
Social,ABB,Industrials,United States,North America,Employees,New hires - Female,Number,2022,4983
Social,ABB,Industrials,United States,North America,Employees,New hires - Female,Number,2021,4085
Social,ABB,Industrials,United States,North America,Employees,New hires - Female,Number,2020,4547
Social,ABB,Industrials,United States,North America,Employees,New hires - Male,Number,2023,14188
Social,ABB,Industrials,United States,North America,Employees,New hires - Male,Number,2022,10638
Social,ABB,Industrials,United States,North America,Employees,New hires - Male,Number,2021,12116
Social,ABB,Industrials,United States,North America,Employees,New hires - Male,Number,2020,9417
Social,ABB,Industrials,United States,North America,Health and safety,Total recordable injury rate (TRIR) - Employee,Rate,2023,0.27
Social,ABB,Industrials,United States,North America,Health and safety,Total recordable injury rate (TRIR) - Employee,Rate,2022,0.31
Social,ABB,Industrials,United States,North America,Health and safety,Total recordable injury rate (TRIR) - Employee,Rate,2021,0.29
Social,ABB,Industrials,United States,North America,Health and safety,Total recordable injury rate (TRIR) - Employee,Rate,2020,0.31
Social,ABB,Industrials,United States,North America,Health and safety,Total recordable injury rate (TRIR) - Contractor,Rate,2023,0.31
Social,ABB,Industrials,United States,North America,Health and safety,Total recordable injury rate (TRIR) - Contractor,Rate,2022,0.41
Social,ABB,Industrials,United States,North America,Health and safety,Total recordable injury rate (TRIR) - Contractor,Rate,2021,0.45
Social,ABB,Industrials,United States,North America,Health and safety,Total recordable injury rate (TRIR) - Contractor,Rate,2020,0.46
Social,ABB,Industrials,United States,North America,Health and safety,Number of person days lost due to industrial incidents,Days,2023,2503
Social,ABB,Industrials,United States,North America,Health and safety,Number of person days lost due to industrial incidents,Days,2022,2981
Social,ABB,Industrials,United States,North America,Health and safety,Number of person days lost due to industrial incidents,Days,2021,1334
Social,ABB,Industrials,United States,North America,Health and safety,Number of person days lost due to industrial incidents,Days,2020,2014
Social,ABB,Industrials,United States,North America,Health and safety,Number of person days lost due to industrial incidents,Rate,2023,2.2
Social,ABB,Industrials,United States,North America,Health and safety,Number of person days lost due to industrial incidents,Rate,2022,2.6
Social,ABB,Industrials,United States,North America,Health and safety,Number of person days lost due to industrial incidents,Rate,2021,1.2
Social,ABB,Industrials,United States,North America,Health and safety,Number of person days lost due to industrial incidents,Rate,2020,1.5
Social,ABB,Industrials,United States,North America,Health and safety,Occupational health illnesses,Number,2023,7
Social,ABB,Industrials,United States,North America,Health and safety,Occupational health illnesses,Number,2022,11
Social,ABB,Industrials,United States,North America,Health and safety,Occupational health illnesses,Number,2021,10
Social,ABB,Industrials,United States,North America,Health and safety,Occupational health illnesses,Number,2020,5
Social,ABB,Industrials,United States,North America,Health and safety,Occupational health illnesses,Rate,2023,0.01
Social,ABB,Industrials,United States,North America,Health and safety,Occupational health illnesses,Rate,2022,0.01
Social,ABB,Industrials,United States,North America,Health and safety,Occupational health illnesses,Rate,2021,0.01
Social,ABB,Industrials,United States,North America,Health and safety,Occupational health illnesses,Rate,2020,0
Social,ABB,Industrials,United States,North America,Health and safety,Hazards reported,Number,2023,256513
Social,ABB,Industrials,United States,North America,Health and safety,Hazards reported,Number,2022,250741
Social,ABB,Industrials,United States,North America,Health and safety,Hazards reported,Number,2021,248038
Social,ABB,Industrials,United States,North America,Health and safety,Hazards reported,Number,2020,270985
Social,ABB,Industrials,United States,North America,Health and safety,Hazards reported,Rate,2023,2.23
Social,ABB,Industrials,United States,North America,Health and safety,Hazards reported,Rate,2022,2.18
Social,ABB,Industrials,United States,North America,Health and safety,Hazards reported,Rate,2021,2.16
Social,ABB,Industrials,United States,North America,Health and safety,Hazards reported,Rate,2020,2.06
Social,ABB,Industrials,United States,North America,Training and development,Training hours per employee,Hours,2023,6.8
Social,ABB,Industrials,United States,North America,Training and development,Training hours per employee,Hours,2022,4.5
Social,ABB,Industrials,United States,North America,Employees,Incidents of discrimination,Number,2023,17
Social,ABB,Industrials,United States,North America,Employees,Incidents of discrimination,Number,2022,10
Social,ABB,Industrials,United States,North America,Employees,Incidents of discrimination,Number,2021,3
Social,ABB,Industrials,United States,North America,Employees,Incidents of discrimination,Number,2020,0
Social,ABB,Industrials,United States,North America,Employees,Incidents of harrassment,Number,2023,72
Social,ABB,Industrials,United States,North America,Employees,Incidents of harrassment,Number,2022,64
Social,ABB,Industrials,United States,North America,Employees,Incidents of harrassment,Number,2021,26
Social,ABB,Industrials,United States,North America,Employees,Incidents of harrassment,Number,2020,36
Social,Abbott Laboratories,Healthcare,United States,North America,Diversity,Female employees,%,2023,46
Social,Abbott Laboratories,Healthcare,United States,North America,Diversity,Female employees,%,2022,45
Social,Abbott Laboratories,Healthcare,United States,North America,Diversity,Female employees,%,2021,45
Social,Abbott Laboratories,Healthcare,United States,North America,Diversity,Female employees,%,2020,45
Social,Abbott Laboratories,Healthcare,United States,North America,Diversity,Female in managmenet position,%,2023,42
Social,Abbott Laboratories,Healthcare,United States,North America,Diversity,Female in managmenet position,%,2022,41
Social,Abbott Laboratories,Healthcare,United States,North America,Diversity,Female in managmenet position,%,2021,40
Social,Abbott Laboratories,Healthcare,United States,North America,Diversity,Female in managmenet position,%,2020,39
Social,Abbott Laboratories,Healthcare,United States,North America,Health and safety,Lost-time injury frequency rate (LTIFR),Rate,2023,0.15
Social,Abbott Laboratories,Healthcare,United States,North America,Health and safety,Lost-time injury frequency rate (LTIFR),Rate,2022,0.12
Social,Abbott Laboratories,Healthcare,United States,North America,Health and safety,Lost-time injury frequency rate (LTIFR),Rate,2021,0.13
Social,Abbott Laboratories,Healthcare,United States,North America,Health and safety,Lost-time injury frequency rate (LTIFR),Rate,2020,0.13
Social,Abbott Laboratories,Healthcare,United States,North America,Health and safety,Vehicle accidents per million miles,Rate,2023,2.86
Social,Abbott Laboratories,Healthcare,United States,North America,Health and safety,Vehicle accidents per million miles,Rate,2022,2.56
Social,Abbott Laboratories,Healthcare,United States,North America,Health and safety,Vehicle accidents per million miles,Rate,2021,2.61
Social,Abbott Laboratories,Healthcare,United States,North America,Health and safety,Vehicle accidents per million miles,Rate,2020,2.7
Social,Abbott Laboratories,Healthcare,United States,North America,Health and safety,Recordable incident rate,Rate,2023,0.28
Social,Abbott Laboratories,Healthcare,United States,North America,Health and safety,Recordable incident rate,Rate,2022,0.25
Social,Abbott Laboratories,Healthcare,United States,North America,Health and safety,Recordable incident rate,Rate,2021,0.3
Social,Abbott Laboratories,Healthcare,United States,North America,Health and safety,Recordable incident rate,Rate,2020,0.28
Social,Abbott Laboratories,Healthcare,United States,North America,Health and safety,Occupational illness frequency rate,Rate,2023,0.26
Social,Abbott Laboratories,Healthcare,United States,North America,Health and safety,Occupational illness frequency rate,Rate,2022,0.05
Social,Abbott Laboratories,Healthcare,United States,North America,Health and safety,Occupational illness frequency rate,Rate,2021,0.1
Social,Abbott Laboratories,Healthcare,United States,North America,Health and safety,Occupational illness frequency rate,Rate,2020,0.06
Social,Abbott Laboratories,Healthcare,United States,North America,Health and safety,Number of fatalities,Number,2023,0
Social,Abbott Laboratories,Healthcare,United States,North America,Health and safety,Number of fatalities,Number,2022,0
Social,Abbott Laboratories,Healthcare,United States,North America,Health and safety,Number of fatalities,Number,2021,0
Social,Abbott Laboratories,Healthcare,United States,North America,Health and safety,Number of fatalities,Number,2020,0
Social,Abbott Laboratories,Healthcare,United States,North America,Supply chain,Suppliers spend,$ million,2023,3846
Social,Abbott Laboratories,Healthcare,United States,North America,Supply chain,Suppliers spend,$ million,2022,4413
Social,Abbott Laboratories,Healthcare,United States,North America,Supply chain,Suppliers spend,$ million,2021,3211
Social,Abbott Laboratories,Healthcare,United States,North America,Supply chain,Suppliers spend,$ million,2020,2343
Social,Abbott Laboratories,Healthcare,United States,North America,CSI,CSI spend,$ million,2023,75.7
Social,Abbott Laboratories,Healthcare,United States,North America,CSI,CSI spend,$ million,2022,74.2
Social,Abbott Laboratories,Healthcare,United States,North America,CSI,CSI spend,$ million,2021,90.1
Social,Abbott Laboratories,Healthcare,United States,North America,CSI,CSI spend,$ million,2020,75.7
Social,Abbott Laboratories,Healthcare,United States,North America,Employees,Number of employees,Number,2023,114000
Social,Abbott Laboratories,Healthcare,United States,North America,Employees,Number of employees,Number,2022,115000
Social,Abbott Laboratories,Healthcare,United States,North America,Employees,Number of employees,Number,2021,113000
Social,Abbott Laboratories,Healthcare,United States,North America,Employees,Number of employees,Number,2020,109000
Social,Abbott Laboratories,Healthcare,United States,North America,Diversity,Employees less than 30 years,%,2023,18
Social,Abbott Laboratories,Healthcare,United States,North America,Diversity,Employees less than 30 years,%,2022,18
Social,Abbott Laboratories,Healthcare,United States,North America,Diversity,Employees less than 30 years,%,2021,18
Social,Abbott Laboratories,Healthcare,United States,North America,Diversity,Employees less than 30 years,%,2020,18
Social,Abbott Laboratories,Healthcare,United States,North America,Diversity,Employees between 30 - 50 years,%,2023,63
Social,Abbott Laboratories,Healthcare,United States,North America,Diversity,Employees between 30 - 50 years,%,2022,63
Social,Abbott Laboratories,Healthcare,United States,North America,Diversity,Employees between 30 - 50 years,%,2021,64
Social,Abbott Laboratories,Healthcare,United States,North America,Diversity,Employees between 30 - 50 years,%,2020,64
Social,Abbott Laboratories,Healthcare,United States,North America,Diversity,Employees over 50 years,%,2023,19
Social,Abbott Laboratories,Healthcare,United States,North America,Diversity,Employees over 50 years,%,2022,19
Social,Abbott Laboratories,Healthcare,United States,North America,Diversity,Employees over 50 years,%,2021,18
Social,Abbott Laboratories,Healthcare,United States,North America,Diversity,Employees over 50 years,%,2020,18
Social,Abbott Laboratories,Healthcare,United States,North America,Employees,Employee turnover rate,%,2023,17
Social,Abbott Laboratories,Healthcare,United States,North America,Employees,Employee turnover rate,%,2022,16
Social,Abbott Laboratories,Healthcare,United States,North America,Employees,Employee turnover rate,%,2021,16
Social,Abbott Laboratories,Healthcare,United States,North America,Employees,Employee turnover rate,%,2020,13.42
Social,Abbott Laboratories,Healthcare,United States,North America,Employees,Employee turnover rate - Voluntary,%,2023,12
Social,Abbott Laboratories,Healthcare,United States,North America,Employees,Employee turnover rate - Voluntary,%,2022,13
Social,Abbott Laboratories,Healthcare,United States,North America,Employees,Employee turnover rate - Voluntary,%,2021,12
Social,Abbott Laboratories,Healthcare,United States,North America,Employees,Employee turnover rate - Voluntary,%,2020,9.84
Social,Abbvie,Healthcare,United States,North America,Employees,Employee turnover rate,%,2023,9
Social,Abbvie,Healthcare,United States,North America,Employees,Employee turnover rate,%,2022,10
Social,Abbvie,Healthcare,United States,North America,Employees,Employee turnover rate,%,2021,11
Social,Abbvie,Healthcare,United States,North America,Employees,Employee turnover rate - Voluntary,%,2023,6
Social,Abbvie,Healthcare,United States,North America,Employees,Employee turnover rate - Voluntary,%,2022,8
Social,Abbvie,Healthcare,United States,North America,Employees,Employee turnover rate - Voluntary,%,2021,8
Social,Abbvie,Healthcare,United States,North America,Employees,New hires,Number,2023,6100
Social,Abbvie,Healthcare,United States,North America,Employees,New hires,Number,2022,7500
Social,Abbvie,Healthcare,United States,North America,Employees,New hires,Number,2021,8000
Social,Abbvie,Healthcare,United States,North America,Employees,Number of employees,Number,2023,53000
Social,Abbvie,Healthcare,United States,North America,Employees,Number of employees,Number,2022,52000
Social,Abbvie,Healthcare,United States,North America,Employees,Number of employees,Number,2021,50000
Social,Abbvie,Healthcare,United States,North America,Diversity,Female employees,56,2023,56
Social,Abbvie,Healthcare,United States,North America,Diversity,Female employees,56,2022,55
Social,Abbvie,Healthcare,United States,North America,Diversity,Female in management,%,2023,41
Social,Abbvie,Healthcare,United States,North America,Diversity,Female in management,%,2022,40
Social,Abbvie,Healthcare,United States,North America,Diversity,Female in management,%,2021,36
Social,Abbvie,Healthcare,United States,North America,Employees,Number of employees - Differently abled,%,2023,2
Social,Abbvie,Healthcare,United States,North America,Employees,Number of employees - Differently abled,%,2022,2
Social,Abbvie,Healthcare,United States,North America,Employees,Number of employees - Differently abled,%,2021,2
Social,Abbvie,Healthcare,United States,North America,Diversity,Asian employees,%,2023,19
Social,Abbvie,Healthcare,United States,North America,Diversity,Asian employees,%,2022,18
Social,Abbvie,Healthcare,United States,North America,Diversity,Asian employees,%,2021,17
Social,Abbvie,Healthcare,United States,North America,Diversity,Black or African American employees,%,2023,7
Social,Abbvie,Healthcare,United States,North America,Diversity,Black or African American employees,%,2022,7
Social,Abbvie,Healthcare,United States,North America,Diversity,Black or African American employees,%,2021,6
Social,Abbvie,Healthcare,United States,North America,Diversity,Hispanic/Latinx employees,%,2023,10
Social,Abbvie,Healthcare,United States,North America,Diversity,Hispanic/Latinx employees,%,2022,9
Social,Abbvie,Healthcare,United States,North America,Diversity,Hispanic/Latinx employees,%,2021,9
Social,Abbvie,Healthcare,United States,North America,Diversity,White employees,%,2023,61
Social,Abbvie,Healthcare,United States,North America,Diversity,White employees,%,2022,62
Social,Abbvie,Healthcare,United States,North America,Diversity,White employees,%,2021,65
Social,Abbvie,Healthcare,United States,North America,Diversity,Other races/ethnicity,%,2023,3
Social,Abbvie,Healthcare,United States,North America,Diversity,Other races/ethnicity,%,2022,4
Social,Abbvie,Healthcare,United States,North America,Diversity,Other races/ethnicity,%,2021,3
Social,Abbvie,Healthcare,United States,North America,Health and safety,Total recordable incident rate (TRIR),Rate,2023,0.18
Social,Abbvie,Healthcare,United States,North America,Health and safety,Total recordable incident rate (TRIR),Rate,2022,0.18
Social,Abbvie,Healthcare,United States,North America,Health and safety,Total recordable incident rate (TRIR),Rate,2021,0.16
Social,Abbvie,Healthcare,United States,North America,Health and safety,Lost-time incident rate (LTIR),Rate,2023,0.07
Social,Abbvie,Healthcare,United States,North America,Health and safety,Lost-time incident rate (LTIR),Rate,2022,0.05
Social,Abbvie,Healthcare,United States,North America,Health and safety,Lost-time incident rate (LTIR),Rate,2021,0.04
Social,Abbvie,Healthcare,United States,North America,Health and safety,Number of fatalities,Number,2023,0
Social,Abbvie,Healthcare,United States,North America,Health and safety,Number of fatalities,Number,2022,0
Social,Abbvie,Healthcare,United States,North America,Health and safety,Number of fatalities,Number,2021,0
Social,Abbvie,Healthcare,United States,North America,Supply chain,Suppliers spend,$ billion,2023,15.188
Social,Abbvie,Healthcare,United States,North America,Supply chain,Suppliers spend,$ billion,2022,15.038
Social,Abbvie,Healthcare,United States,North America,Supply chain,Suppliers spend,$ billion,2021,14.504
Social,ABM Industries Inc,Industrials,United States,North America,Diversity,Underrepresented employees,%,2023,71
Social,ABM Industries Inc,Industrials,United States,North America,Diversity,White employees,%,2023,29
Social,ABM Industries Inc,Industrials,United States,North America,Diversity,Employees under 30 years,%,2023,18
Social,ABM Industries Inc,Industrials,United States,North America,Diversity,Employees between 30 - 50 years,%,2023,40
Social,ABM Industries Inc,Industrials,United States,North America,Diversity,Employees over 50 years,%,2023,42
Social,ABM Industries Inc,Industrials,United States,North America,Diversity,Female employees,%,2023,50
Social,ABM Industries Inc,Industrials,United States,North America,Diversity,Male employees,%,2023,50
Social,ABM Industries Inc,Industrials,United States,North America,Employees,Number of employees,Number,2023,107301
Social,ABM Industries Inc,Industrials,United States,North America,Employees,Number of employees - Full-time,Number,2023,89872
Social,ABM Industries Inc,Industrials,United States,North America,Employees,Number of employees - Part-time,Number,2023,17429
Social,ABM Industries Inc,Industrials,United States,North America,Diversity,Number of male employees,Number,2023,54159
Social,ABM Industries Inc,Industrials,United States,North America,Diversity,Number of female employees,Number,2023,53142
Social,ABM Industries Inc,Industrials,United States,North America,Diversity,Employees below 30 years,Number,2023,19457
Social,ABM Industries Inc,Industrials,United States,North America,Diversity,Employees between 30 - 50 years,Number,2023,42614
Social,ABM Industries Inc,Industrials,United States,North America,Diversity,Employees over 50 years,Number,2023,45230
Social,ABM Industries Inc,Industrials,United States,North America,Diversity,Number of minority employees,Number,2023,75968
Social,ABM Industries Inc,Industrials,United States,North America,Diversity,Number of white employees,Number,2023,24719
